intent,count,recall,dataset,n_neighbors
exfiltration,56,0.9642857142857143,val,10
privilege_misuse,16,0.4375,val,10
recon,70,0.8714285714285714,val,10
tamper_like,36,0.8333333333333334,val,10
exfiltration,56,1.0,test,10
privilege_misuse,16,0.5,test,10
recon,70,0.8714285714285714,test,10
tamper_like,36,0.8055555555555556,test,10
exfiltration,56,0.9464285714285714,val,15
privilege_misuse,16,0.5,val,15
recon,70,0.9,val,15
tamper_like,36,0.7777777777777778,val,15
exfiltration,56,1.0,test,15
privilege_misuse,16,0.625,test,15
recon,70,0.8857142857142857,test,15
tamper_like,36,0.7777777777777778,test,15
exfiltration,56,0.9285714285714286,val,20
privilege_misuse,16,0.5625,val,20
recon,70,0.8857142857142857,val,20
tamper_like,36,0.8055555555555556,val,20
exfiltration,56,0.9821428571428571,test,20
privilege_misuse,16,0.625,test,20
recon,70,0.8857142857142857,test,20
tamper_like,36,0.7777777777777778,test,20
exfiltration,56,0.9285714285714286,val,30
privilege_misuse,16,0.5625,val,30
recon,70,0.8857142857142857,val,30
tamper_like,36,0.8055555555555556,val,30
exfiltration,56,0.9821428571428571,test,30
privilege_misuse,16,0.625,test,30
recon,70,0.8857142857142857,test,30
tamper_like,36,0.7777777777777778,test,30
exfiltration,56,0.9285714285714286,val,40
privilege_misuse,16,0.625,val,40
recon,70,0.8857142857142857,val,40
tamper_like,36,0.7777777777777778,val,40
exfiltration,56,0.9821428571428571,test,40
privilege_misuse,16,0.625,test,40
recon,70,0.8571428571428571,test,40
tamper_like,36,0.7777777777777778,test,40
