intent,count,recall,dataset,nu,gamma
exfiltration,56,0.9285714285714286,val,0.03,scale
privilege_misuse,16,0.625,val,0.03,scale
recon,70,0.8571428571428571,val,0.03,scale
tamper_like,36,0.8333333333333334,val,0.03,scale
exfiltration,56,0.9821428571428571,test,0.03,scale
privilege_misuse,16,0.625,test,0.03,scale
recon,70,0.8428571428571429,test,0.03,scale
tamper_like,36,0.8333333333333334,test,0.03,scale
exfiltration,56,0.9285714285714286,val,0.05,scale
privilege_misuse,16,0.625,val,0.05,scale
recon,70,0.8571428571428571,val,0.05,scale
tamper_like,36,0.8333333333333334,val,0.05,scale
exfiltration,56,0.9821428571428571,test,0.05,scale
privilege_misuse,16,0.625,test,0.05,scale
recon,70,0.8428571428571429,test,0.05,scale
tamper_like,36,0.8333333333333334,test,0.05,scale
exfiltration,56,0.9285714285714286,val,0.08,scale
privilege_misuse,16,0.625,val,0.08,scale
recon,70,0.8571428571428571,val,0.08,scale
tamper_like,36,0.8333333333333334,val,0.08,scale
exfiltration,56,0.9821428571428571,test,0.08,scale
privilege_misuse,16,0.625,test,0.08,scale
recon,70,0.8428571428571429,test,0.08,scale
tamper_like,36,0.8333333333333334,test,0.08,scale
exfiltration,56,0.9464285714285714,val,0.03,0.05
privilege_misuse,16,0.625,val,0.03,0.05
recon,70,0.8571428571428571,val,0.03,0.05
tamper_like,36,0.8055555555555556,val,0.03,0.05
exfiltration,56,0.9821428571428571,test,0.03,0.05
privilege_misuse,16,0.625,test,0.03,0.05
recon,70,0.8571428571428571,test,0.03,0.05
tamper_like,36,0.8611111111111112,test,0.03,0.05
exfiltration,56,0.9285714285714286,val,0.05,0.05
privilege_misuse,16,0.625,val,0.05,0.05
recon,70,0.8571428571428571,val,0.05,0.05
tamper_like,36,0.8333333333333334,val,0.05,0.05
exfiltration,56,0.9821428571428571,test,0.05,0.05
privilege_misuse,16,0.625,test,0.05,0.05
recon,70,0.8571428571428571,test,0.05,0.05
tamper_like,36,0.8611111111111112,test,0.05,0.05
exfiltration,56,0.9285714285714286,val,0.08,0.05
privilege_misuse,16,0.625,val,0.08,0.05
recon,70,0.8571428571428571,val,0.08,0.05
tamper_like,36,0.8333333333333334,val,0.08,0.05
exfiltration,56,0.9821428571428571,test,0.08,0.05
privilege_misuse,16,0.625,test,0.08,0.05
recon,70,0.8571428571428571,test,0.08,0.05
tamper_like,36,0.8611111111111112,test,0.08,0.05
