intent,count,recall,dataset,nu,gamma,rules_recall,ocsvm_better
exfiltration,56,0.9285714285714286,val,0.03,scale,0.9107142857142857,True
privilege_misuse,16,0.625,val,0.03,scale,0.5,True
recon,70,0.8571428571428571,val,0.03,scale,0.6285714285714286,True
tamper_like,36,0.8333333333333334,val,0.03,scale,0.6111111111111112,True
exfiltration,56,0.9821428571428571,test,0.03,scale,0.9464285714285714,True
privilege_misuse,16,0.625,test,0.03,scale,0.5,True
recon,70,0.8428571428571429,test,0.03,scale,0.6285714285714286,True
tamper_like,36,0.8333333333333334,test,0.03,scale,0.5833333333333334,True
exfiltration,56,0.9285714285714286,val,0.05,scale,0.9107142857142857,True
privilege_misuse,16,0.625,val,0.05,scale,0.5,True
recon,70,0.8571428571428571,val,0.05,scale,0.6285714285714286,True
tamper_like,36,0.8333333333333334,val,0.05,scale,0.6111111111111112,True
exfiltration,56,0.9821428571428571,test,0.05,scale,0.9464285714285714,True
privilege_misuse,16,0.625,test,0.05,scale,0.5,True
recon,70,0.8428571428571429,test,0.05,scale,0.6285714285714286,True
tamper_like,36,0.8333333333333334,test,0.05,scale,0.5833333333333334,True
exfiltration,56,0.9285714285714286,val,0.08,scale,0.9107142857142857,True
privilege_misuse,16,0.625,val,0.08,scale,0.5,True
recon,70,0.8571428571428571,val,0.08,scale,0.6285714285714286,True
tamper_like,36,0.8333333333333334,val,0.08,scale,0.6111111111111112,True
exfiltration,56,0.9821428571428571,test,0.08,scale,0.9464285714285714,True
privilege_misuse,16,0.625,test,0.08,scale,0.5,True
recon,70,0.8428571428571429,test,0.08,scale,0.6285714285714286,True
tamper_like,36,0.8333333333333334,test,0.08,scale,0.5833333333333334,True
exfiltration,56,0.9464285714285714,val,0.03,0.05,0.9107142857142857,True
privilege_misuse,16,0.625,val,0.03,0.05,0.5,True
recon,70,0.8571428571428571,val,0.03,0.05,0.6285714285714286,True
tamper_like,36,0.8055555555555556,val,0.03,0.05,0.6111111111111112,True
exfiltration,56,0.9821428571428571,test,0.03,0.05,0.9464285714285714,True
privilege_misuse,16,0.625,test,0.03,0.05,0.5,True
recon,70,0.8571428571428571,test,0.03,0.05,0.6285714285714286,True
tamper_like,36,0.8611111111111112,test,0.03,0.05,0.5833333333333334,True
exfiltration,56,0.9285714285714286,val,0.05,0.05,0.9107142857142857,True
privilege_misuse,16,0.625,val,0.05,0.05,0.5,True
recon,70,0.8571428571428571,val,0.05,0.05,0.6285714285714286,True
tamper_like,36,0.8333333333333334,val,0.05,0.05,0.6111111111111112,True
exfiltration,56,0.9821428571428571,test,0.05,0.05,0.9464285714285714,True
privilege_misuse,16,0.625,test,0.05,0.05,0.5,True
recon,70,0.8571428571428571,test,0.05,0.05,0.6285714285714286,True
tamper_like,36,0.8611111111111112,test,0.05,0.05,0.5833333333333334,True
exfiltration,56,0.9285714285714286,val,0.08,0.05,0.9107142857142857,True
privilege_misuse,16,0.625,val,0.08,0.05,0.5,True
recon,70,0.8571428571428571,val,0.08,0.05,0.6285714285714286,True
tamper_like,36,0.8333333333333334,val,0.08,0.05,0.6111111111111112,True
exfiltration,56,0.9821428571428571,test,0.08,0.05,0.9464285714285714,True
privilege_misuse,16,0.625,test,0.08,0.05,0.5,True
recon,70,0.8571428571428571,test,0.08,0.05,0.6285714285714286,True
tamper_like,36,0.8611111111111112,test,0.08,0.05,0.5833333333333334,True
